year,pacfa_id,business_type,facility_name,address,city,state,zip_code,county,latitude,longitude
2014,,,104603,,,,,,,
2015,,,2 Blondes All Breed Rescue,7695 Louviers Blvd,Littleton,,80131,Douglas County,39.612653,-105.016198
2016,,,2 Blondes All Breed Rescue,7695 Louviers Blvd,Littleton,,80126,Douglas County,39.612653,-105.016198
2017,,,2 Blondes All Breed Rescue,7695 Louviers Blvd,Littleton,,80126,Douglas County,39.543528,-104.96093
2019,,,2 Blondes All Breed Rescue,7695 Louviers Blvd,Littleton,,80126,Douglas County,39.543528,-104.96093
2020,,Pet Animal Large Rescue,"2 Blondes All Breed Rescue, Inc.",,Lakewood,Co,,Jefferson,,
2021,,Pet Animal Large Rescue,"2 Blondes All Breed Rescue, Inc.",,Lakewood,Co,,Jefferson,,
2022,,Pet Animal Large Rescue,"2 Blondes All Breed Rescue, Inc.",,Lakewood,Co,,Jefferson,,
2023,,Pet Animal Large Rescue,"2 Blondes All Breed Rescue, Inc.",,Lakewood,Co,,Jefferson,,
Licensing,,Pet Animal Large Rescue,"2 Blondes All Breed Rescue, Inc.",,Lakewood,Co,,Jefferson,,
2014,,,256,,,,,,,
2022,,,2nd Chance Vizsla Rescue Inc,,,,,,,
2021,,,"2nd Chance Vizsla Rescue, Inc",,,,,,,
2018,,,"2nd Chance Vizsla Rescue, Inc.",,,,,Larimer County,,
2019,,,"2nd Chance Vizsla Rescue, Inc.",,,,,Larimer County,,
2020,,,"2nd Chance Vizsla Rescue, Inc.",,,,,Larimer County,,
2007,4270.0,,4 Bar D Kennels,40733 Cr 46,Fleming,Co,80728.0,,,
2012,6948.0,Pet Animal Large Rescue,4 Paws 4 Life Rescue,"3000 S Jamaica Ct, Ste 140",Aurora,Co,80014.0,Arapahoe County,39.66155,-104.862327
2013,6948,Pet Animal Large Rescue,4 Paws 4 Life Rescue,"3000 S Jamaica Ct, Ste 140",Aurora,Co,80014.0,Arapahoe County,39.66155,-104.862327
2014,6948,Pet Animal Large Rescue,4 Paws 4 Life Rescue,"3000 Jamaica Court, Suite 140",Aurora ,Co,80014,Arapahoe County,39.66155,-104.862327
2015,6948,Pet Animal Large Rescue,4 Paws 4 Life Rescue,8290 W. Coal Mine Avenue,Aurora ,Co,80123,Jefferson County,39.66155,-104.862327
2016,6948,Pet Animal Large Rescue,4 Paws 4 Life Rescue,8290 W. Coal Mine Avenue,Sedalia,Co,80135,Douglas County,38.704529,-93.236542
2017,6948,Pet Animal Large Rescue,4 Paws 4 Life Rescue,8290 W. Coal Mine Avenue,Sedalia,Co,80135,Douglas County,39.283191,-105.110954
2018,6948,Pet Animal Large Rescue,4 Paws 4 Life Rescue,8290 W. Coal Mine Avenue,Sedalia,Co,80135,Douglas County,39.283191,-105.110954
2019,6948,Pet Animal Large Rescue,4 Paws 4 Life Rescue,8290 W. Coal Mine Avenue,Sedalia,Co,80135,Douglas County,39.283191,-105.110954
2020,6948,Pet Animal Large Rescue,4 Paws 4 Life Rescue,8290 W. Coal Mine Avenue,Sedalia,Co,80135,Douglas County,39.283191,-105.110954
2021,6948,Pet Animal Large Rescue,4 Paws 4 Life Rescue,8290 W. Coal Mine Avenue,Sedalia,Co,80135,Douglas County,39.283191,-105.110954
2022,6948,Pet Animal Large Rescue,4 Paws 4 Life Rescue,8290 W. Coal Mine Avenue,Sedalia,Co,80135,Douglas County,39.283191,-105.110954
2023,6948,Pet Animal Large Rescue,4 Paws 4 Life Rescue,8290 W. Coal Mine Avenue,Sedalia,Co,80135,Douglas County,39.283191,-105.110954
Licensing,6948,Pet Animal Large Rescue,4 Paws 4 Life Rescue,8290 W. Coal Mine Avenue,Sedalia,Co,80135,Douglas,39.283191,-105.110954
Licensing,6948,Pet Animal Small Shelter,4 Paws 4 Life Rescue,8290 W. Coal Mine Avenue,Sedalia,Co,80135,Douglas,39.283191,-105.110954
2007,4636.0,,4 Paws Rescue,1332 Imperial Dr.,Colorado Springs,Co,80918.0,El Paso County,,
2008,4636,,4 Paws Rescue,1332 Imperial Dr.,Colorado Springs,Co,80918.0,El Paso County,,
2009,4636,,4 Paws Rescue,1332 Imperial Dr.,Colorado Springs,Co,80918.0,El Paso County,,
2010,4636,,4 Paws Rescue,1332 Imperial Dr.,Colorado Springs,Co,80918.0,El Paso County,,
2011,4636,,4 Paws Rescue,1332 Imperial Dr.,Colorado Springs,Co,80918.0,El Paso County,,
2012,4636.0,,4 Paws Rescue,1332 Imperial Dr.,Colorado Springs,Co,80918.0,El Paso County,,
2013,4636,,4 Paws Rescue,1332 Imperial Dr.,Colorado Springs,Co,80918.0,El Paso County,,
2014,4636,,4 Paws Rescue,PO Box 60067,Colo Spgs ,Co,80960,El Paso County,,
2015,4636,,4 Paws Rescue,8677 Saddleman Road,Colo Spgs ,Co,80831,El Paso County,,
Licensing,,Pet Animal Small Shelter,5280 Reptile Room LLC,,Wheat Ridge,Co,,Jefferson,,
Licensing,,Pet Animal Small Shelter,5280 Reptile Room LLC,,Northglenn,Co,,Adams,,
2023,,,5280 Reptile Room North,,,,,,,
2023,,,5280 Reptile Room west,,,,,,,
2014,,,64521,,,,,,,
2022,,,7 Paws Rescue Ranch,,,,,,,
2023,,,7 Paws Rescue Ranch,,,,,,,
2007,2540.0,Pet Animal Small Rescue,9 Lives Rescue,2159 Brookwood Dr.,Colorado Springs,Co,80918.0,El Paso County,38.874109,-104.719462
2008,2540,Pet Animal Small Rescue,9 Lives Rescue,2159 Brookwood Dr.,Colorado Springs,Co,80918.0,El Paso County,38.874109,-104.719462
2009,2540,Pet Animal Small Rescue,9 Lives Rescue,2159 Brookwood Dr.,Colorado Springs,Co,80918.0,El Paso County,38.874109,-104.719462
2010,2540,Pet Animal Small Rescue,9 Lives Rescue,P.O. Box 75183,Colorado Springs,Co,80970.0,El Paso County,38.874109,-104.719462
2011,2540,Pet Animal Small Rescue,9 Lives Rescue,2159 Brookwood Dr.,Colorado Springs,Co,80918.0,El Paso County,38.874109,-104.719462
2012,2540.0,Pet Animal Small Rescue,9 Lives Rescue,2159 Brookwood Dr.,Colorado Springs,Co,80918.0,El Paso County,38.874109,-104.719462
2013,2540,Pet Animal Small Rescue,9 Lives Rescue,2159 Brookwood Dr.,Colorado Springs,Co,80918.0,El Paso County,38.874109,-104.719462
2014,2540,Pet Animal Small Rescue,9 Lives Rescue,2965 New Center Pt,"Colorado Springs, Colorado ",Co,80922,El Paso County,38.874109,-104.719462
2015,2540,Pet Animal Small Rescue,9 Lives Rescue,2965 New Center Point,"Colorado Springs, Colorado ",Co,80922,El Paso County,38.874109,-104.719462
2016,2540,Pet Animal Small Rescue,9 Lives Rescue,2965 New Center Point,Colorado Springs,Co,80922,El Paso County,38.835224,-104.819798
2017,2540,Pet Animal Small Rescue,9 Lives Rescue,2965 New Center Point,Colorado Springs,Co,80922,El Paso County,38.891441,-104.701368
2018,2540,Pet Animal Small Rescue,9 Lives Rescue,2965 New Center Point,Colorado Springs,Co,80922,El Paso County,38.891441,-104.701368
2019,2540,Pet Animal Small Rescue,9 Lives Rescue,2965 New Center Point,Colorado Springs,Co,80922,El Paso County,38.891441,-104.701368
2020,2540,Pet Animal Small Rescue,9 Lives Rescue,2965 New Center Point,Colorado Springs,Co,80922,El Paso County,38.891441,-104.701368
2021,2540,Pet Animal Small Rescue,9 Lives Rescue,2965 New Center Point,Colorado Springs,Co,80922,El Paso County,38.891441,-104.701368
2022,2540,Pet Animal Small Rescue,9 Lives Rescue,2965 New Center Point,Colorado Springs,Co,80922,El Paso County,38.891441,-104.701368
2023,2540,Pet Animal Small Rescue,9 Lives Rescue,2965 New Center Point,Colorado Springs,Co,80922,El Paso County,38.891441,-104.701368
Licensing,2540,Pet Animal Small Rescue,9 Lives Rescue,2965 New Center Point,Colorado Springs,Co,80922,El Paso,38.891441,-104.701368
2021,,Pet Animal Small Shelter,A Cat Rescue Out in the Sticks,,Eckley,Co,,Yuma,,
Licensing,,Pet Animal Small Shelter,A Cat Rescue Out in the Sticks,,Eckley,Co,,Yuma,,
Licensing,,Pet Animal Large Rescue,"A Dog Named Black Jack Animal Rescue Recovery, Inc.",,Lakewood,Co,,Jefferson,,
2020,,Pet Animal Large Rescue,A Friend of Jack Rescue,,Denver,Co,,Denver,,
2021,,Pet Animal Large Rescue,A Friend of Jack Rescue,,Denver,Co,,Denver,,
2022,,Pet Animal Large Rescue,A Friend of Jack Rescue,,Denver,Co,,Denver,,
2023,,Pet Animal Large Rescue,A Friend of Jack Rescue,,Denver,Co,,Denver,,
Licensing,,Pet Animal Large Rescue,A Friend of Jack Rescue,,Denver,Co,,Denver,,
2010,6051,,A Puppy'S Voice,9048 W. 101st Ave.,Westminster,Co,80021.0,,,
2012,6051.0,,A Puppy's Voice,9048 W. 101st Ave.,Westminster,Co,80021.0,Jefferson County,39.881233,-105.098262
2013,6051,,A Puppy's Voice,9048 W. 101st Ave.,Westminster,Co,80021.0,Jefferson County,39.881233,-105.098262
2014,6051,,A Puppy's Voice,9048 W 101st Ave,Westminster ,Co,80021,Jefferson County,39.881233,-105.098262
2010,6522,,A Soft Place To Land,122 W Myrtle Street,Ft. Collins,Co ,80521.0,,,
2011,6522,,A Soft Place to Land,1122 W. Myrtle St.,Fort Collins,Co ,80521.0,Larimer County,40.580516,-105.096629
2012,6522.0,,A Soft Place to Land,1122 W. Myrtle St.,Fort Collins,Co ,80521.0,Larimer County,40.580516,-105.096629
2013,6522,,A Soft Place to Land,1122 W. Myrtle St.,Fort Collins,Co ,80521.0,Larimer County,40.580516,-105.096629
2014,6522,,A Soft Place to Land,1122 W. Myrtle St,Ft. Collins ,Co ,80521,Larimer County,40.580516,-105.096629
2022,,,A cat rescue out in the sticks,,,,,,,
2023,,,A cat rescue out in the sticks,,,,,,,
2008,5962,,ACC Ranch,9991 County Line Rd,Peyton,Co,80831.0,,,
2009,5962,,ACC Ranch,9991 County Line Rd,Peyton,Co,80831.0,,,
2021,,,ARR Just Cats Cat Cottage,,,,,,,
2019,,,AWR Cat Tails Rescue,,,,,,,
2018,,,AWR Cat Tails Rescue Inc.,,,,,Pueblo County,,
2022,,Pet Animal Small Rescue,Above and Beyond English Setter Rescue,,Parker,Co,,Douglas,,
2023,,Pet Animal Small Rescue,Above and Beyond English Setter Rescue,,Parker,Co,,Douglas,,
Licensing,,Pet Animal Small Rescue,Above and Beyond English Setter Rescue,,Parker,Co,,Douglas,,
2017,,,Acadiana Animal Aid,,Walsenburg,,81089,Huerfano County,37.654968,-104.803148
2018,,,Acadiana Animal Aid,,Walsenburg,,81089,Huerfano County,37.654968,-104.803148
2019,,,Acadiana Animal Aid,,Walsenburg,,81089,Huerfano County,37.654968,-104.803148
2020,,,Acadiana Animal Aid,,Walsenburg,,81089,Huerfano County,37.654968,-104.803148
2021,,,Acadiana Animal Aid,,Walsenburg,,81089,Huerfano County,37.654968,-104.803148
2022,,,Acadiana Animal Aid,,Walsenburg,,81089,Huerfano County,37.654968,-104.803148
2007,4184.0,,Adams County Animal Shelter & Adoption Center,10705 Fulton,Brighton,Co,80601.0,Adams County,39.969078,-104.800393
2008,4184,,Adams County Animal Shelter & Adoption Center,10705 Fulton,Brighton,Co,80601.0,Adams County,39.969078,-104.800393
2009,4184,,Adams County Animal Shelter & Adoption Center,10705 Fulton,Brighton,Co,80601.0,Adams County,39.969078,-104.800393
2010,4184,,Adams County Animal Shelter & Adoption Center,10705 Fulton,Brighton,Co,80601.0,Adams County,39.969078,-104.800393
2011,4184,,Adams County Animal Shelter & Adoption Center,10705 Fulton,Brighton,Co,80601.0,Adams County,39.969078,-104.800393
2012,4184.0,,Adams County Animal Shelter & Adoption Center,10705 Fulton,Brighton,Co,80601.0,Adams County,39.969078,-104.800393
2013,4184,,Adams County Animal Shelter & Adoption Center,10705 Fulton,Brighton,Co,80601.0,Adams County,39.969078,-104.800393
2017,4184,,Adams County Animal Shelter & Adoption Center,10705 Fulton,Brighton,Co,80601,Adams County,39.969078,-104.800393
2018,4184,,Adams County Animal Shelter & Adoption Center,10705 Fulton,Brighton,Co,80601,Adams County,39.969078,-104.800393
2019,4184,,Adams County Animal Shelter & Adoption Center,10705 Fulton,Brighton,Co,80601,Adams County,39.969078,-104.800393
