year,pacfa_id,license_no,business_type,facility_name,address,city,state,zip_code,county,latitude,longitude,animal_type,measure,value
2007,4270.0,,,4 Bar D Kennels,40733 Cr 46,Fleming,Co,80728.0,,,,Cat,Adoption,2
2007,4270.0,,,4 Bar D Kennels,40733 Cr 46,Fleming,Co,80728.0,,,,Cat,Other Intake,4
2007,4270.0,,,4 Bar D Kennels,40733 Cr 46,Fleming,Co,80728.0,,,,Dog,Adoption,36
2007,4270.0,,,4 Bar D Kennels,40733 Cr 46,Fleming,Co,80728.0,,,,Dog,Euthanasia,2
2007,4270.0,,,4 Bar D Kennels,40733 Cr 46,Fleming,Co,80728.0,,,,Dog,Other Intake,38
2007,4636.0,Pl000Lmt,,4 Paws Rescue,1332 Imperial Dr.,Colorado Springs,Co,80918.0,El Paso County,,,Dog,Adoption,113
2007,4636.0,Pl000Lmt,,4 Paws Rescue,1332 Imperial Dr.,Colorado Springs,Co,80918.0,El Paso County,,,Dog,Other Intake,118
2007,2540.0,Pl0009H9,Pet Animal Small Rescue,9 Lives Rescue,2159 Brookwood Dr.,Colorado Springs,Co,80918.0,El Paso County,38.874109,-104.719462,Cat,Adoption,511
2007,2540.0,Pl0009H9,Pet Animal Small Rescue,9 Lives Rescue,2159 Brookwood Dr.,Colorado Springs,Co,80918.0,El Paso County,38.874109,-104.719462,Cat,Death,23
2007,2540.0,Pl0009H9,Pet Animal Small Rescue,9 Lives Rescue,2159 Brookwood Dr.,Colorado Springs,Co,80918.0,El Paso County,38.874109,-104.719462,Cat,Euthanasia,10
2007,2540.0,Pl0009H9,Pet Animal Small Rescue,9 Lives Rescue,2159 Brookwood Dr.,Colorado Springs,Co,80918.0,El Paso County,38.874109,-104.719462,Cat,Other Intake,570
2007,2540.0,Pl0009H9,Pet Animal Small Rescue,9 Lives Rescue,2159 Brookwood Dr.,Colorado Springs,Co,80918.0,El Paso County,38.874109,-104.719462,Cat,Owner Relinquished,27
2007,2540.0,Pl0009H9,Pet Animal Small Rescue,9 Lives Rescue,2159 Brookwood Dr.,Colorado Springs,Co,80918.0,El Paso County,38.874109,-104.719462,Dog,Adoption,215
2007,2540.0,Pl0009H9,Pet Animal Small Rescue,9 Lives Rescue,2159 Brookwood Dr.,Colorado Springs,Co,80918.0,El Paso County,38.874109,-104.719462,Dog,Other Intake,220
2007,2540.0,Pl0009H9,Pet Animal Small Rescue,9 Lives Rescue,2159 Brookwood Dr.,Colorado Springs,Co,80918.0,El Paso County,38.874109,-104.719462,Dog,Owner Relinquished,19
2007,2540.0,Pl0009H9,Pet Animal Small Rescue,9 Lives Rescue,2159 Brookwood Dr.,Colorado Springs,Co,80918.0,El Paso County,38.874109,-104.719462,Other,Other Intake,13
2007,4184.0,,,Adams County Animal Shelter & Adoption Center,10705 Fulton,Brighton,Co,80601.0,Adams County,39.969078,-104.800393,Cat,Adoption,590
2007,4184.0,,,Adams County Animal Shelter & Adoption Center,10705 Fulton,Brighton,Co,80601.0,Adams County,39.969078,-104.800393,Cat,Death,75
2007,4184.0,,,Adams County Animal Shelter & Adoption Center,10705 Fulton,Brighton,Co,80601.0,Adams County,39.969078,-104.800393,Cat,Euthanasia,630
2007,4184.0,,,Adams County Animal Shelter & Adoption Center,10705 Fulton,Brighton,Co,80601.0,Adams County,39.969078,-104.800393,Cat,Other Intake,2448
2007,4184.0,,,Adams County Animal Shelter & Adoption Center,10705 Fulton,Brighton,Co,80601.0,Adams County,39.969078,-104.800393,Cat,Owner Relinquished,93
2007,4184.0,,,Adams County Animal Shelter & Adoption Center,10705 Fulton,Brighton,Co,80601.0,Adams County,39.969078,-104.800393,Cat,Transfer Out,915
2007,4184.0,,,Adams County Animal Shelter & Adoption Center,10705 Fulton,Brighton,Co,80601.0,Adams County,39.969078,-104.800393,Dog,Adoption,907
2007,4184.0,,,Adams County Animal Shelter & Adoption Center,10705 Fulton,Brighton,Co,80601.0,Adams County,39.969078,-104.800393,Dog,Death,19
2007,4184.0,,,Adams County Animal Shelter & Adoption Center,10705 Fulton,Brighton,Co,80601.0,Adams County,39.969078,-104.800393,Dog,Euthanasia,482
2007,4184.0,,,Adams County Animal Shelter & Adoption Center,10705 Fulton,Brighton,Co,80601.0,Adams County,39.969078,-104.800393,Dog,Other Intake,3182
