year,facility_name,animal_type,measure,value
2007,4 Bar D Kennels,Cat,Adoption,2
2007,4 Bar D Kennels,Cat,Other Intake,4
2007,4 Bar D Kennels,Dog,Adoption,36
2007,4 Bar D Kennels,Dog,Euthanasia,2
2007,4 Bar D Kennels,Dog,Other Intake,38
2007,4 Paws Rescue,Dog,Adoption,113
2007,4 Paws Rescue,Dog,Other Intake,118
2007,9 Lives Rescue,Cat,Adoption,511
2007,9 Lives Rescue,Cat,Death,23
2007,9 Lives Rescue,Cat,Euthanasia,10
2007,9 Lives Rescue,Cat,Other Intake,570
2007,9 Lives Rescue,Cat,Owner Relinquished,27
2007,9 Lives Rescue,Dog,Adoption,215
2007,9 Lives Rescue,Dog,Other Intake,220
2007,9 Lives Rescue,Dog,Owner Relinquished,19
2007,9 Lives Rescue,Other,Other Intake,13
2007,Adams County Animal Shelter & Adoption Center,Cat,Adoption,590
2007,Adams County Animal Shelter & Adoption Center,Cat,Death,75
2007,Adams County Animal Shelter & Adoption Center,Cat,Euthanasia,630
2007,Adams County Animal Shelter & Adoption Center,Cat,Other Intake,2448
2007,Adams County Animal Shelter & Adoption Center,Cat,Owner Relinquished,93
2007,Adams County Animal Shelter & Adoption Center,Cat,Transfer Out,915
2007,Adams County Animal Shelter & Adoption Center,Dog,Adoption,907
2007,Adams County Animal Shelter & Adoption Center,Dog,Death,19
2007,Adams County Animal Shelter & Adoption Center,Dog,Euthanasia,482
2007,Adams County Animal Shelter & Adoption Center,Dog,Other Intake,3182
2007,Adams County Animal Shelter & Adoption Center,Dog,Owner Relinquished,1305
2007,Adams County Animal Shelter & Adoption Center,Dog,Transfer Out,371
2007,Adams County Animal Shelter & Adoption Center,Other,Other Intake,250
2007,Adams County Animal Shelter & Adoption Center,Other,Owner Relinquished,20
2007,Airedale Terrier Rescue & Adoption,Dog,Adoption,39
2007,Airedale Terrier Rescue & Adoption,Dog,Euthanasia,2
2007,Airedale Terrier Rescue & Adoption,Dog,Other Intake,45
2007,Almost Home Adoptions,Cat,Adoption,537
2007,Almost Home Adoptions,Cat,Death,9
2007,Almost Home Adoptions,Cat,Euthanasia,1
2007,Almost Home Adoptions,Cat,Other Intake,572
2007,Almost Home Adoptions,Cat,Owner Relinquished,9
2007,Almost Home Adoptions,Cat,Transfer Out,5
2007,Alpine Meadows Ranch & Kennels,Cat,Adoption,19
2007,Alpine Meadows Ranch & Kennels,Cat,Other Intake,19
2007,Alpine Meadows Ranch & Kennels,Dog,Adoption,81
2007,Alpine Meadows Ranch & Kennels,Dog,Other Intake,82
2007,Alpine Meadows Ranch & Kennels,Dog,Transfer Out,1
2007,Angels With Paws,Cat,Adoption,486
2007,Angels With Paws,Cat,Death,17
2007,Angels With Paws,Cat,Euthanasia,9
2007,Angels With Paws,Cat,Other Intake,516
2007,Angels With Paws,Cat,Owner Relinquished,7
2007,Angels With Paws,Cat,Transfer Out,7
2007,Angels With Paws,Dog,Other Intake,3
2007,Animal Clinic Of Julesburg,Dog,Adoption,1
2007,Animal Clinic Of Julesburg,Dog,Euthanasia,5
2007,Animal Clinic Of Julesburg,Dog,Other Intake,9
2007,Animal Clinic Of Julesburg,Dog,Owner Relinquished,3
2007,"Animal House Pets & Grooming, Inc.",Dog,Adoption,381
2007,"Animal House Pets & Grooming, Inc.",Dog,Death,8
2007,"Animal House Pets & Grooming, Inc.",Dog,Euthanasia,3
2007,"Animal House Pets & Grooming, Inc.",Dog,Other Intake,434
2007,"Animal House Pets & Grooming, Inc.",Dog,Owner Relinquished,1
2007,"Animal House Pets & Grooming, Inc.",Dog,Transfer Out,5
2007,Animal Kingdom,Cat,Other Intake,2
2007,Animal Kingdom,Cat,Owner Relinquished,2
